,celltypes_fine,celltypes_coarse
112329-3,Beta cells,Endocrine cells
112341-3,Classical_TFF1,Classical PDAC
112364-3,Acinar cells,Acinar cells
112365-3,Macrophages_M1,Macrophages
112373-3,Basal,Basal-like PDAC
112382-3,Classical_TFF1,Classical PDAC
112388-3,myCAF_POSTN,Fibroblasts
112389-3,myCAF_ACTA2,Fibroblasts
112391-3,Classical_CEACAM,Classical PDAC
112392-3,myCAF_ACTA2,Fibroblasts
112417-3,Endothelial cells,Endothelial cells
112423-3,Schwann cells,Schwann cells
112432-3,myCAF_ACTA2,Fibroblasts
112443-3,Macrophages_M1,Macrophages
112448-3,Classical_TFF1,Classical PDAC
112457-3,B cells,Lymphocytes
112463-3,myCAF_ACTA2,Fibroblasts
112468-3,Ductal cells,Ductal cells
112470-3,Ductal cells,Ductal cells
112473-3,Macrophages_M1,Macrophages
112477-3,Acinar cells,Acinar cells
112482-3,myCAF_ACTA2,Fibroblasts
112501-3,Classical_CEACAM,Classical PDAC
112503-3,Classical_CEACAM,Classical PDAC
112519-3,Basal,Basal-like PDAC
112531-3,myCAF_POSTN,Fibroblasts
112539-3,myCAF_POSTN,Fibroblasts
112555-3,Classical_CEACAM,Classical PDAC
112558-3,Macrophages_M1,Macrophages
112559-3,Acinar cells,Acinar cells
112563-3,Classical_CEACAM,Classical PDAC
112567-3,Classical_CEACAM,Classical PDAC
112580-3,myCAF_ACTA2,Fibroblasts
112589-3,Classical_CEACAM,Classical PDAC
112595-3,Acinar cells,Acinar cells
112600-3,myCAF_ACTA2,Fibroblasts
112601-3,Classical_CEACAM,Classical PDAC
112602-3,myCAF_ACTA2,Fibroblasts
112617-3,Classical_CEACAM,Classical PDAC
112621-3,Classical_CEACAM,Classical PDAC
112628-3,myCAF_ACTA2,Fibroblasts
112636-3,Endothelial cells,Endothelial cells
112638-3,Classical_CEACAM,Classical PDAC
112659-3,Classical_CEACAM,Classical PDAC
112660-3,Basal,Basal-like PDAC
112662-3,B cells,Lymphocytes
112664-3,myCAF_ACTA2,Fibroblasts
112667-3,Classical_CEACAM,Classical PDAC
112671-3,myCAF_ACTA2,Fibroblasts
112674-3,Classical_KRT7,Classical PDAC
112677-3,iCAF,Fibroblasts
112680-3,Classical_CEACAM,Classical PDAC
112684-3,Classical_KRT7,Classical PDAC
112686-3,Classical_TFF1,Classical PDAC
112701-3,Schwann cells,Schwann cells
112711-3,Acinar cells,Acinar cells
112712-3,Beta cells,Endocrine cells
112721-3,Schwann cells,Schwann cells
112728-3,Classical_TFF1,Classical PDAC
112731-3,myCAF_ACTA2,Fibroblasts
112735-3,Schwann cells,Schwann cells
112756-3,Classical_KRT7,Classical PDAC
112769-3,B cells,Lymphocytes
112771-3,Classical_CEACAM,Classical PDAC
112778-3,myCAF_POSTN,Fibroblasts
112784-3,myCAF_POSTN,Fibroblasts
112785-3,myCAF_POSTN,Fibroblasts
112789-3,myCAF_POSTN,Fibroblasts
112801-3,Classical_KRT7,Classical PDAC
112808-3,Acinar cells,Acinar cells
112832-3,Classical_TFF1,Classical PDAC
112852-3,Macrophages_M1,Macrophages
112858-3,Basal,Basal-like PDAC
112860-3,Acinar cells,Acinar cells
112863-3,myCAF_POSTN,Fibroblasts
112868-3,Schwann cells,Schwann cells
112871-3,myCAF_POSTN,Fibroblasts
112876-3,B cells,Lymphocytes
112880-3,myCAF_POSTN,Fibroblasts
112889-3,Macrophages_M1,Macrophages
112891-3,Macrophages_M1,Macrophages
112905-3,Alpha cells,Endocrine cells
112921-3,T cells,Lymphocytes
112926-3,Acinar cells,Acinar cells
112931-3,Endothelial cells,Endothelial cells
112948-3,Classical_CEACAM,Classical PDAC
112952-3,Basal,Basal-like PDAC
112957-3,myCAF_POSTN,Fibroblasts
112959-3,Classical_KRT7,Classical PDAC
112963-3,Schwann cells,Schwann cells
112971-3,Classical_TFF1,Classical PDAC
112991-3,B cells,Lymphocytes
113002-3,Classical_CEACAM,Classical PDAC
113007-3,myCAF_POSTN,Fibroblasts
113009-3,myCAF_ACTA2,Fibroblasts
113015-3,Classical_KRT7,Classical PDAC
113025-3,Endothelial cells,Endothelial cells
113033-3,Endothelial cells,Endothelial cells
113053-3,Acinar cells,Acinar cells
113063-3,Acinar cells,Acinar cells
113064-3,Classical_TFF1,Classical PDAC
113065-3,B cells,Lymphocytes
113068-3,Classical_CEACAM,Classical PDAC
113069-3,Classical_CEACAM,Classical PDAC
113071-3,Endothelial cells,Endothelial cells
113093-3,Classical_KRT7,Classical PDAC
113113-3,Macrophages_M2,Macrophages
113121-3,Basal,Basal-like PDAC
113135-3,Classical_CEACAM,Classical PDAC
113138-3,Classical_KRT7,Classical PDAC
113143-3,myCAF_POSTN,Fibroblasts
113147-3,myCAF_POSTN,Fibroblasts
113148-3,Ductal cells,Ductal cells
113150-3,Basal,Basal-like PDAC
113152-3,Schwann cells,Schwann cells
113155-3,Ductal cells,Ductal cells
113156-3,Dendritic cells,Dendritic cells
113205-3,Schwann cells,Schwann cells
113210-3,Classical_TFF1,Classical PDAC
113212-3,Macrophages_M1,Macrophages
113226-3,Ductal cells,Ductal cells
113231-3,myCAF_ACTA2,Fibroblasts
113232-3,Classical_CEACAM,Classical PDAC
113237-3,iCAF,Fibroblasts
113249-3,Endothelial cells,Endothelial cells
113251-3,Macrophages_M1,Macrophages
113265-3,Ductal cells,Ductal cells
113292-3,Classical_CEACAM,Classical PDAC
113303-3,Ductal cells,Ductal cells
113309-3,Beta cells,Endocrine cells
113325-3,myCAF_ACTA2,Fibroblasts
113326-3,Schwann cells,Schwann cells
113328-3,T cells,Lymphocytes
113336-3,Classical_KRT7,Classical PDAC
113338-3,Beta cells,Endocrine cells
113341-3,Classical_KRT7,Classical PDAC
113350-3,Basal,Basal-like PDAC
113358-3,Macrophages_M2,Macrophages
113360-3,Macrophages_M2,Macrophages
113362-3,Endothelial cells,Endothelial cells
113367-3,Ductal cells,Ductal cells
113382-3,B cells,Lymphocytes
113413-3,Endothelial cells,Endothelial cells
113430-3,Macrophages_M2,Macrophages
113433-3,B cells,Lymphocytes
113438-3,Classical_KRT7,Classical PDAC
113448-3,Basal,Basal-like PDAC
113452-3,B cells,Lymphocytes
113453-3,Classical_KRT7,Classical PDAC
113455-3,T cells,Lymphocytes
113467-3,Macrophages_M1,Macrophages
113473-3,Alpha cells,Endocrine cells
113479-3,Classical_CEACAM,Classical PDAC
113485-3,Basal,Basal-like PDAC
113488-3,Classical_CEACAM,Classical PDAC
113505-3,Beta cells,Endocrine cells
113509-3,B cells,Lymphocytes
113517-3,Classical_TFF1,Classical PDAC
113529-3,B cells,Lymphocytes
113540-3,T cells,Lymphocytes
113557-3,Ductal cells,Ductal cells
113558-3,Classical_CEACAM,Classical PDAC
113572-3,T cells,Lymphocytes
113583-3,myCAF_ACTA2,Fibroblasts
113596-3,Classical_KRT7,Classical PDAC
113599-3,iCAF,Fibroblasts
113618-3,Ductal cells,Ductal cells
113623-3,Classical_CEACAM,Classical PDAC
113624-3,Classical_TFF1,Classical PDAC
113625-3,Classical_KRT7,Classical PDAC
113640-3,Schwann cells,Schwann cells
113665-3,Classical_CEACAM,Classical PDAC
113668-3,Macrophages_M1,Macrophages
113688-3,myCAF_POSTN,Fibroblasts
113693-3,iCAF,Fibroblasts
113697-3,myCAF_POSTN,Fibroblasts
113700-3,Endothelial cells,Endothelial cells
113705-3,Dendritic cells,Dendritic cells
113706-3,Acinar cells,Acinar cells
113711-3,NK cells,Lymphocytes
113722-3,myCAF_POSTN,Fibroblasts
113725-3,T cells,Lymphocytes
113742-3,iCAF,Fibroblasts
113758-3,Ductal cells,Ductal cells
113781-3,Classical_CEACAM,Classical PDAC
113792-3,Acinar cells,Acinar cells
113800-3,Alpha cells,Endocrine cells
113803-3,Endothelial cells,Endothelial cells
113804-3,Classical_CEACAM,Classical PDAC
113813-3,Beta cells,Endocrine cells
113824-3,Classical_TFF1,Classical PDAC
113825-3,Classical_TFF1,Classical PDAC
113832-3,Classical_TFF1,Classical PDAC
113841-3,Macrophages_M1,Macrophages
113849-3,Classical_TFF1,Classical PDAC
113860-3,Beta cells,Endocrine cells
113867-3,Classical_CEACAM,Classical PDAC
113871-3,T cells,Lymphocytes
113873-3,Basal,Basal-like PDAC
113882-3,Acinar cells,Acinar cells
113884-3,Macrophages_M1,Macrophages
113901-3,Classical_CEACAM,Classical PDAC
113922-3,Endothelial cells,Endothelial cells
113926-3,Classical_CEACAM,Classical PDAC
113927-3,Basal,Basal-like PDAC
113938-3,Classical_CEACAM,Classical PDAC
113946-3,Endothelial cells,Endothelial cells
113961-3,Basal,Basal-like PDAC
113967-3,Basal,Basal-like PDAC
113982-3,Classical_TFF1,Classical PDAC
113988-3,Ductal cells,Ductal cells
113994-3,Endothelial cells,Endothelial cells
113996-3,iCAF,Fibroblasts
113998-3,Classical_CEACAM,Classical PDAC
114005-3,Classical_KRT7,Classical PDAC
114010-3,Classical_CEACAM,Classical PDAC
114012-3,Macrophages_M1,Macrophages
114013-3,iCAF,Fibroblasts
114014-3,myCAF_POSTN,Fibroblasts
114023-3,Classical_CEACAM,Classical PDAC
114029-3,Acinar cells,Acinar cells
114032-3,Classical_CEACAM,Classical PDAC
114036-3,Classical_TFF1,Classical PDAC
114041-3,Acinar cells,Acinar cells
114052-3,Classical_KRT7,Classical PDAC
114058-3,Classical_TFF1,Classical PDAC
114063-3,Ductal cells,Ductal cells
114068-3,Classical_CEACAM,Classical PDAC
114077-3,Macrophages_M2,Macrophages
114081-3,Schwann cells,Schwann cells
114099-3,myCAF_ACTA2,Fibroblasts
114101-3,B cells,Lymphocytes
114113-3,Classical_KRT7,Classical PDAC
114130-3,Ductal cells,Ductal cells
114132-3,Endothelial cells,Endothelial cells
114136-3,Macrophages_M1,Macrophages
114152-3,Classical_CEACAM,Classical PDAC
114177-3,Macrophages_M2,Macrophages
114181-3,myCAF_POSTN,Fibroblasts
114187-3,Endothelial cells,Endothelial cells
114189-3,Beta cells,Endocrine cells
114211-3,Beta cells,Endocrine cells
114212-3,Acinar cells,Acinar cells
114225-3,Classical_CEACAM,Classical PDAC
114231-3,Classical_KRT7,Classical PDAC
114235-3,Classical_CEACAM,Classical PDAC
114238-3,Acinar cells,Acinar cells
114255-3,Classical_TFF1,Classical PDAC
114268-3,Classical_KRT7,Classical PDAC
114275-3,Classical_CEACAM,Classical PDAC
114291-3,Macrophages_M2,Macrophages
114303-3,Schwann cells,Schwann cells
114311-3,Classical_CEACAM,Classical PDAC
114318-3,Classical_TFF1,Classical PDAC
114319-3,Classical_CEACAM,Classical PDAC
114330-3,Macrophages_M2,Macrophages
114331-3,myCAF_ACTA2,Fibroblasts
114336-3,Classical_CEACAM,Classical PDAC
114337-3,Classical_CEACAM,Classical PDAC
114354-3,Classical_CEACAM,Classical PDAC
114374-3,Classical_CEACAM,Classical PDAC
114382-3,Endothelial cells,Endothelial cells
114391-3,T cells,Lymphocytes
114392-3,Basal,Basal-like PDAC
114397-3,Macrophages_M1,Macrophages
114420-3,Schwann cells,Schwann cells
114428-3,NK cells,Lymphocytes
114436-3,Classical_TFF1,Classical PDAC
114443-3,myCAF_ACTA2,Fibroblasts
114453-3,Classical_CEACAM,Classical PDAC
114456-3,Classical_CEACAM,Classical PDAC
114459-3,Endothelial cells,Endothelial cells
114467-3,NK cells,Lymphocytes
114473-3,NK cells,Lymphocytes
114475-3,B cells,Lymphocytes
114479-3,B cells,Lymphocytes
114489-3,myCAF_POSTN,Fibroblasts
114492-3,NK cells,Lymphocytes
114493-3,Acinar cells,Acinar cells
114498-3,Macrophages_M1,Macrophages
114508-3,iCAF,Fibroblasts
114515-3,myCAF_POSTN,Fibroblasts
114518-3,Endothelial cells,Endothelial cells
114528-3,Macrophages_M2,Macrophages
114529-3,Acinar cells,Acinar cells
114546-3,Alpha cells,Endocrine cells
114557-3,Macrophages_M2,Macrophages
114562-3,T cells,Lymphocytes
114563-3,Acinar cells,Acinar cells
114579-3,Classical_TFF1,Classical PDAC
114601-3,myCAF_POSTN,Fibroblasts
114619-3,Endothelial cells,Endothelial cells
114625-3,Classical_TFF1,Classical PDAC
114641-3,B cells,Lymphocytes
114666-3,iCAF,Fibroblasts
114667-3,T cells,Lymphocytes
114682-3,NK cells,Lymphocytes
114687-3,Classical_KRT7,Classical PDAC
114694-3,Classical_TFF1,Classical PDAC
114699-3,B cells,Lymphocytes
114709-3,myCAF_ACTA2,Fibroblasts
114718-3,Classical_TFF1,Classical PDAC
114726-3,Macrophages_M1,Macrophages
114732-3,Macrophages_M2,Macrophages
114733-3,Basal,Basal-like PDAC
114736-3,B cells,Lymphocytes
114739-3,Basal,Basal-like PDAC
114756-3,Classical_CEACAM,Classical PDAC
114758-3,Classical_TFF1,Classical PDAC
114770-3,Basal,Basal-like PDAC
114771-3,Ductal cells,Ductal cells
114789-3,Classical_CEACAM,Classical PDAC
114800-3,Classical_KRT7,Classical PDAC
114802-3,Classical_CEACAM,Classical PDAC
114804-3,Classical_TFF1,Classical PDAC
114808-3,Endothelial cells,Endothelial cells
114817-3,Classical_CEACAM,Classical PDAC
114818-3,myCAF_ACTA2,Fibroblasts
114822-3,myCAF_ACTA2,Fibroblasts
114823-3,iCAF,Fibroblasts
114825-3,Endothelial cells,Endothelial cells
114830-3,Classical_KRT7,Classical PDAC
114833-3,myCAF_POSTN,Fibroblasts
114842-3,myCAF_POSTN,Fibroblasts
114844-3,Classical_KRT7,Classical PDAC
114847-3,Macrophages_M2,Macrophages
114850-3,Classical_TFF1,Classical PDAC
114873-3,Schwann cells,Schwann cells
114882-3,T cells,Lymphocytes
114914-3,Endothelial cells,Endothelial cells
114921-3,Classical_CEACAM,Classical PDAC
114932-3,Macrophages_M2,Macrophages
114938-3,Acinar cells,Acinar cells
114939-3,Classical_TFF1,Classical PDAC
114940-3,T cells,Lymphocytes
114960-3,Acinar cells,Acinar cells
114961-3,Basal,Basal-like PDAC
114965-3,myCAF_ACTA2,Fibroblasts
114966-3,Classical_CEACAM,Classical PDAC
114977-3,Classical_CEACAM,Classical PDAC
114979-3,Beta cells,Endocrine cells
114981-3,B cells,Lymphocytes
114985-3,Classical_TFF1,Classical PDAC
114989-3,Classical_TFF1,Classical PDAC
115000-3,B cells,Lymphocytes
115005-3,myCAF_ACTA2,Fibroblasts
115041-3,Classical_CEACAM,Classical PDAC
115051-3,Ductal cells,Ductal cells
115062-3,Ductal cells,Ductal cells
115063-3,Acinar cells,Acinar cells
115091-3,Classical_CEACAM,Classical PDAC
115093-3,Macrophages_M1,Macrophages
115102-3,myCAF_POSTN,Fibroblasts
115103-3,myCAF_ACTA2,Fibroblasts
115114-3,B cells,Lymphocytes
115118-3,myCAF_ACTA2,Fibroblasts
115122-3,T cells,Lymphocytes
115123-3,Classical_KRT7,Classical PDAC
115137-3,Acinar cells,Acinar cells
115141-3,iCAF,Fibroblasts
115150-3,Ductal cells,Ductal cells
115157-3,T cells,Lymphocytes
115175-3,Acinar cells,Acinar cells
115187-3,Classical_CEACAM,Classical PDAC
115188-3,NK cells,Lymphocytes
115196-3,T cells,Lymphocytes
115199-3,Ductal cells,Ductal cells
115209-3,myCAF_ACTA2,Fibroblasts
115229-3,Classical_TFF1,Classical PDAC
