,celltypes_fine,celltypes_coarse
116535-3,Classical_KRT7,Classical PDAC
116541-3,Schwann cells,Schwann cells
116556-3,Classical_TFF1,Classical PDAC
116563-3,myCAF_ACTA2,Fibroblasts
116565-3,Classical_CEACAM,Classical PDAC
116585-3,myCAF_ACTA2,Fibroblasts
116596-3,Ductal cells,Ductal cells
116632-3,Acinar cells,Acinar cells
116648-3,myCAF_ACTA2,Fibroblasts
116660-3,Macrophages_M2,Macrophages
116666-3,myCAF_ACTA2,Fibroblasts
116681-3,Classical_CEACAM,Classical PDAC
116683-3,B cells,Lymphocytes
116688-3,T cells,Lymphocytes
116691-3,Endothelial cells,Endothelial cells
116697-3,iCAF,Fibroblasts
116708-3,Classical_CEACAM,Classical PDAC
116714-3,Classical_CEACAM,Classical PDAC
116721-3,Endothelial cells,Endothelial cells
116737-3,Classical_TFF1,Classical PDAC
116745-3,Classical_KRT7,Classical PDAC
116775-3,Classical_CEACAM,Classical PDAC
116777-3,Acinar cells,Acinar cells
116799-3,Alpha cells,Endocrine cells
116802-3,Classical_CEACAM,Classical PDAC
116812-3,Basal,Basal-like PDAC
116836-3,iCAF,Fibroblasts
116839-3,Beta cells,Endocrine cells
116848-3,Basal,Basal-like PDAC
116849-3,B cells,Lymphocytes
116851-3,Classical_CEACAM,Classical PDAC
116862-3,Classical_CEACAM,Classical PDAC
116867-3,Ductal cells,Ductal cells
116875-3,Classical_CEACAM,Classical PDAC
116882-3,Classical_TFF1,Classical PDAC
116886-3,Classical_TFF1,Classical PDAC
116887-3,Ductal cells,Ductal cells
116893-3,Classical_TFF1,Classical PDAC
116894-3,Acinar cells,Acinar cells
116905-3,Classical_TFF1,Classical PDAC
116927-3,T cells,Lymphocytes
116932-3,B cells,Lymphocytes
116949-3,Basal,Basal-like PDAC
